Aluno 0: (5.54, 7.89) = Aprovado
Aluno 1: (6.08, 3.43) = Reprovado
Aluno 2: (7.67, 2.01) = Reprovado
Aluno 3: (1.31, 5.24) = Reprovado
Aluno 4: (2.20, 1.19) = Reprovado
Aluno 5: (7.75, 5.66) = Aprovado
Aluno 6: (6.18, 6.68) = Aprovado
Aluno 7: (3.52, 8.64) = Aprovado
Aluno 8: (8.89, 9.55) = Aprovado
Aluno 9: (3.27, 5.45) = Reprovado
Aluno 10: (0.49, 0.41) = Reprovado
Aluno 11: (0.57, 6.89) = Reprovado
Aluno 12: (2.91, 6.37) = Reprovado
Aluno 13: (7.07, 1.06) = Reprovado
Aluno 14: (7.68, 7.12) = Aprovado
Aluno 15: (7.98, 2.79) = Aprovado
Aluno 16: (8.57, 6.64) = Aprovado
Aluno 17: (4.00, 5.30) = Reprovado
Aluno 18: (4.50, 3.50) = Reprovado
Aluno 19: (5.60, 4.80) = Reprovado
